date,symbol,spot_price,volatility,option_price,delta,gamma,theta,vega,day
2022-01-03,TSLA,966.5935749761016,0.6,117.39104584019407,0.5661838326109037,0.001356791266041909,-0.6486995978495096,1.9014815086227832,0
2022-01-04,TSLA,977.0895238049452,0.17144733308349566,35.81500865399414,0.5402996996095223,0.004738616509709563,-0.20912718240422937,1.9390589818674677,1
2022-01-05,TSLA,1034.9287910137718,0.9129369660302643,188.9676701242658,0.5945200577067234,0.0008206644511226566,-1.026924390588386,2.006168284919607,2
2022-01-06,TSLA,1034.4346123940084,0.007581889699069201,5.330305682811854,0.9067206185771082,0.04252334884269196,-0.054685231068393195,0.8624839406665227,3
2022-01-07,TSLA,1075.525474063797,0.6183810718782486,134.50830686766835,0.5677963246861407,0.0011823087317853914,-0.7425018567997895,2.114309181953468,4
2022-01-10,TSLA,1091.4794266397003,0.23374725318067452,53.50360474648585,0.5403113215908071,0.0031113817275166956,-0.3068134824164458,2.1660622310869364,5
2022-01-11,TSLA,1027.0983105902728,0.9651128629427967,197.9103591464326,0.5993402144796164,0.0007798294431886134,-1.0725662814875658,1.9849143462995287,6
2022-01-12,TSLA,1036.4741588330194,0.14425274912296576,32.39908226575676,0.5419652203499556,0.005306959868348985,-0.19151759175514035,2.0560177909607105,7
2022-01-13,TSLA,998.7094441516201,0.5891999918598146,119.16920427911998,0.5652415529902308,0.0013377605345290412,-0.6589427773855188,1.9654383866865062,8
2022-01-14,TSLA,1002.2384585143848,0.05599488549728871,13.843007038988503,0.5763585752853003,0.013956185861437884,-0.09110542001143959,1.9624438597262281,9
2022-01-17,TSLA,919.2014327255599,1.3729219044279766,248.55735429211632,0.6370235867428651,0.0005945724454689391,-1.315629767192209,1.7242967378977974,10
2022-01-18,TSLA,965.4884381667969,0.7798961828922326,151.29928712989323,0.5823059755340465,0.0010370027930256757,-0.8279400904010865,1.884737555142938,11
2022-01-19,TSLA,968.4076967154033,0.0479258706370483,11.84976583594755,0.5873124712821103,0.01677802887013882,-0.08002342193987738,1.8852433699424946,12
2022-01-20,TSLA,1037.8925554600146,1.1000140907205023,226.93372598530084,0.6118309483569508,0.0006712179370186622,-1.2208714945263752,1.98841304844244,13
2022-01-21,TSLA,1011.7435166553614,0.40507254074093496,83.95390082831858,0.5501162554844609,0.001931487295578077,-0.4702985783107258,2.0021911100838885,14
2022-01-24,TSLA,1127.2351196607055,1.715919066693437,376.1955762734973,0.6681489369221174,0.00037529727716643306,-1.9440802775106798,2.0456966983660294,15
